Percentage served,Time in ms
0,620.364
1,2267.938
2,3607.652
3,4159.446
4,4737.334
5,5226.936
6,5675.758
7,5874.708
8,6149.857
9,6259.701
10,6360.929
11,6506.229
12,6584.554
13,6715.754
14,6797.085
15,6906.295
16,6979.734
17,7014.978
18,7039.326
19,7087.351
20,7155.353
21,7240.977
22,7340.128
23,7418.259
24,7521.401
25,7576.884
26,7645.675
27,7715.864
28,7795.206
29,8207.618
30,8431.627
31,8707.668
32,8909.629
33,9023.150
34,9142.622
35,9278.193
36,9368.547
37,9489.688
38,9792.132
39,9978.466
40,10042.270
41,10225.283
42,10327.222
43,10523.639
44,10649.065
45,10752.069
46,10792.836
47,10914.724
48,11303.720
49,11606.392
50,11713.453
51,11843.137
52,11931.218
53,12016.930
54,12086.280
55,12127.474
56,12161.480
57,12251.191
58,12467.467
59,12575.604
60,12631.109
61,12691.550
62,12755.878
63,12882.447
64,12943.389
65,13053.202
66,13143.366
67,13197.867
68,13229.926
69,13287.194
70,13341.164
71,13428.025
72,13487.724
73,13565.652
74,13602.426
75,13636.047
76,13671.952
77,13728.617
78,13754.687
79,13811.247
80,13845.606
81,13893.779
82,13923.258
83,13946.083
84,13982.876
85,14045.093
86,14086.462
87,14110.590
88,14144.519
89,14164.496
90,14181.599
91,14214.598
92,14235.147
93,14256.346
94,14280.357
95,14299.202
96,14311.885
97,14327.968
98,14344.749
99,14364.990
100,14415.276
